#Resource	#Domain	Override Frequency	MOB/Race
FISH	WaterSurface	1	Turtle
FISH	WaterSurface	1	Frog
FISH	WaterSurface	1	Snake
FISH	UnderWater	1	Turtle
FISH	UnderWater	1	Frog
FISH	UnderWater	1	Snake
DIRT	Swamp	1	Turtle
DIRT	Swamp	1	Frog
DIRT	Swamp	1	Snake
DIRT	Jungle	1	Turtle
DIRT	Jungle	1	Frog
DIRT	Jungle	1	Snake
SCALES	*	4	Lizard
SCALES	*	3	GardenSnake
SCALES	*	2	Rattlesnake
SCALES	*	1	Cobra
FEATHERS	*	1	WildEagle
FEATHERS	*	1	Falcon
FEATHERS	*	1	Chicken
FEATHERS	*	1	Rooster
FEATHERS	*	1	Parakeet
FEATHERS	*	1	Owl
FEATHERS	*	1	Raven
FEATHERS	*	1	Robin
FEATHERS	*	1	SongBird
FISH	SaltWaterSurface	5	Turtle
FISH	SaltWaterSurface	5	Fish
FISH	SaltWaterSurface	1	WaterFowl
FISH	UnderSaltWater	5	Fish
FISH	UnderSaltWater	2	Turtle
FISH	UnderSaltWater	1	Angelfish
FISH	UnderSaltWater	1	Seahorse
TUNA	UnderSaltWater	1	Tuna
TUNA	UnderSaltWater	1	Tuna
SHRIMP	SaltWaterSurface	1	Crab
SHRIMP	SaltWaterSurface	1	Shrimp
SHRIMP	UnderSaltWater	1	Crab
SHRIMP	UnderSaltWater	1	Shrimp
POULTRY	*	1	Chicken
POULTRY	*	1	Rooster
EGGS	*	1	Chicken
HIDE	IcePlains	1	Rabbit
HIDE	FrozenPlains	1	Rabbit
MUTTON	*	1	Rabbit
WOOL	*	1	Rabbit
LEATHER	*	1	Rattlesnake
LEATHER	*	1	Snake
HIDE	*	1	Porcupine
PORK	*	1	Pig
FUR	*	1	Kitten
FUR	*	1	Puppy
FUR	*	1	Rabbit
FUR	*	1	Beaver
FUR	*	1	Mouse
MEAT	*	1	Rat
MEAT	*	1	Mouse
MEAT	*	1	Squirrel
BEEF	*	1	Tarantula
BEEF	*	1	Scorpion
BEEF	*	1	Spider
BEEF	*	1	Bee

