#Resource	#Domain	Override Frequency	MOB
MUTTON	*	1	Sheep
WOOL	*	1	Sheep
LEATHER	*	3	Cow
LEATHER	*	1	Bull
LEATHER	*	3	Doe
LEATHER	*	3	Buck
HIDE	*	2	Gorilla
HIDE	*	1	Lion
HIDE	*	1	Cheetah
HIDE	*	2	Ape
HIDE	*	2	Fox
HIDE	*	2	Monkey
PORK	*	1	Pig
FUR		*	4	Wolf
FUR		*	3	Buffalo
FUR		*	2	BrownBear
FUR		*	1	BlackBear
MEAT	*	4	Wolf
MEAT	*	3	Buffalo
MEAT	*	2	BrownBear
MEAT	*	1	BlackBear
SCALES	*	4	Lizard
SCALES	*	3	GardenSnake
SCALES	*	2	Cobra
SCALES	*	1	Python
POULTRY	*	1	Chicken
EGGS	*	1	Chicken
BEEF	*	3	Cow
BEEF	*	1	Bull
FEATHERS	*	1	WildEagle
FEATHERS	*	1	Falcon
FEATHERS	*	1	Chicken
FEATHERS	*	1	Parakeet
HIDE	IcePlains	9	Seal
HIDE	FrozenPlains	9	Seal
HIDE	Shore	9	Seal
HIDE	IcePlains	9	Walrus
HIDE	FrozenPlains	9	Walrus
HIDE	Shore	9	Walrus
FISH	SaltWaterSurface	1	Whale
FISH	SaltWaterSurface	1	Seal
FISH	SaltWaterSurface	1	Walrus
FISH	UnderSaltWater	1	Whale
FISH	UnderSaltWater	1	Seal
FISH	UnderSaltWater	1	Walrus
FISH	UnderSaltWater	1	Dolphin
FISH	UnderSaltWater	1	Shark
FISH	UnderSaltWater	1	Swordfish
TUNA	SaltWaterSurface	1	Whale
TUNA	SaltWaterSurface	1	Seal
TUNA	SaltWaterSurface	1	Walrus
TUNA	UnderSaltWater	1	Whale
TUNA	UnderSaltWater	1	Seal
TUNA	UnderSaltWater	1	Walrus
TUNA	UnderSaltWater	1	Dolphin
TUNA	UnderSaltWater	1	Shark
TUNA	UnderSaltWater	1	Swordfish
SHRIMP	SaltWaterSurface	1	Whale
SHRIMP	SaltWaterSurface	1	Seal
SHRIMP	SaltWaterSurface	1	Walrus
SHRIMP	UnderSaltWater	1	Whale
SHRIMP	UnderSaltWater	1	Seal
SHRIMP	UnderSaltWater	1	Walrus
SHRIMP	UnderSaltWater	1	Dolphin
SHRIMP	UnderSaltWater	1	Shark
SHRIMP	UnderSaltWater	1	Swordfish
FISH	WaterSurface	1	Turtle
FISH	WaterSurface	1	Frog
FISH	WaterSurface	1	Snake
FISH	WaterSurface	1	Alligator
FISH	UnderWater	1	Turtle
FISH	UnderWater	1	Frog
FISH	UnderWater	1	Snake
FISH	UnderWater	1	Alligator
DIRT	Swamp	1	Turtle
DIRT	Swamp	1	Frog
DIRT	Swamp	1	Snake
DIRT	Swamp	1	Alligator
DIRT	Jungle	1	Turtle
DIRT	Jungle	1	Frog
DIRT	Jungle	1	Snake
DIRT	Jungle	1	Alligator
