Wall	1	60	250		DIR INDOOR	WALL	NA	-		wall @x1		Blocks entry or exit between two indoor places.
Roof	1	125	500		OUTDOOR	ROOM	StoneRoom	0		frame and roof		Turns an outdoor place into an indoor one.
Low Roof	1	100	250		OUTDOOR	ROOM	StoneRoom	0	Prop_Crawlspace()	lower frame and roof		Turns an outdoor place into an indoor one you crawl through.
Wide Roof	1	150	1000		OUTDOOR	ROOM	StoneRoom	0	Prop_EnlargeRoom(10)	broad frame and roof		Turns an outdoor place into an indoor one of exceptional size.
Small Maze	1	175	1500		OUTDOOR	ROOM	StoneMaze	3		small maze frame and roof		Turns an outdoor place into a small indoor one of twisting turns.
Maze	1	200	2500		OUTDOOR	ROOM	StoneMaze	5		maze frame and roof		Turns an outdoor place into a larger indoor one of twisting turns
Big Maze	1	225	3500		OUTDOOR	ROOM	StoneMaze	7		large maze frame and roof		Turns an outdoor place into a large indoor one of twisting turns
Archway	1	25	200		DIR	DOOR	GenExit	archway		archway @x1		A specially named open exit between two places.
Demolish	1	25	0		DIR	DEMOLISH	Plains	-	-	demolishing		Demolishes something, which has different effects.
Title	1	15	0			TITLE	NA	-	-	title		Brief 1-6 word description of a room.
Description	1	10	0			DESC	NA	-	-	description		Long elaborate description of the room details.
Druidic Monument	1	200	1000		OUTDOOR	ITEM	DruidicMonument			druidic monument	-BASECLASS +Druid	Constructs a spiritual druidic monument.
Window	1	25	100		INDOOR DIR NOWALL	DOOR	GenDoor	window|open|close|A window.|An open window.	Prop_Crawlspace()Prop_RoomView()	window @x1		Object that, when looked at, shows you what's behind it.
Crawlway	1	25	500		INDOOR DIR NOWALL	DOOR	GenExit	crawlway	Prop_Crawlspace	crawlway @x1		Exit between two indoor places you crawl through.
Pool	1	160	400		OUTDOOR	ROOM	WaterSurface	0		pool		Turns an outdoor place into a swimmable water place.
Deep Pool	1	200	700		OUTDOOR	ROOM	WaterSurface	1		pool		Turns an outdoor place into a deep diveable swimmable place.
Portcullis	1	25	100	METAL	DIR	DOOR	GenDoor	portcullis|raise|lower|A portcullis blocks your way.		portcullis @x1		Openable exit between two places.
Stairs	1	210	2550		INDOOR	STAIRS		@x1stairs to the @x2 floor		stairway @x1		Exit from an indoor place to a new indoor room above it.
Hole Floor	1	180	2550		INDOOR	STAIRS		@x1 a hole to the @x2 floor.	Spell_Fly()	hole @x1 to another floor		Exit from an indoor place to an existing room below it.
Raised Ceiling	1	240	2500		INDOOR	STAIRS	IndoorInTheAir	@x1 to the @x2 floor	Spell_Fly()	scaffolding and supports to raise the ceiling		Turns an indoor room into a much taller one.
Cellar	31	300	3000		DOWNONLY	STAIRS	CaveRoom	@x1stairs to the @x2 cellar		cellar @x1		Exit from an indoor place to a new indoor room below it.
