Chant_AiryAura	SAPPHIRE
Chant_AnimalFriendship	FISH
Chant_AnimalGrowth	BEEF
Chant_Barkskin	WOOD
Chant_Bloodhound	PEPPERS
Chant_BreatheAir	POULTRY
Chant_BreatheWater	SEAWEED
Chant_Brittle	MUSHROOMS
Chant_CalmAnimal	CARROTS
Chant_CalmSeas	LIMESTONE
Chant_CalmWind	SANDSTONE
Chant_Camelback	MUTTON
Chant_CatsGrace	QUARTZ
Chant_ChargeMetal	WOOL
Chant_CharmAnimal	MEAT
Chant_Darkvision	CARROTS
Chant_Drifting	LIMESTONE
Chant_EelShock	WOOL
Chant_EndureRust	COPPER
Chant_EnhanceBody	EGGS
Chant_Farsight	GLASS
Chant_FertileCavern	GREENS
Chant_Fertility	STRAWBERRIES
Chant_Fertilization	GREENS
Chant_Flippers	LEATHER
Chant_FortifyFood	SALT
Chant_FurCoat	FUR
Chant_Goodberry	BERRIES
Chant_GrowClub	OAK
Chant_GrowFood	CORN
Chant_HardenSkin	GRANITE
Chant_Hawkeye	CARROTS
Chant_Hippieness	PIPEWEED
Chant_Hunger	SAND
Chant_IllusionaryForest	GREENS
Chant_LocateAnimals	BLOOD
Chant_LocatePlants	GREENS
Chant_MeteorStrike	FLINT
Chant_MuddyGrounds	DIRT
Chant_NeutralizePoison	HERBS
Chant_PlantMaze	NUTS
Chant_PredictWeather	COPPER
Chant_RepelVermin	ASH
Chant_ResuscitateCompanion	COPPER
Chant_Root	WOOD
Chant_SenseAge	REDWOOD
Chant_SenseFluids	YEW
Chant_SenseGems	TEAK
Chant_SenseLife	PINE
Chant_SenseMetal	SPRUCE
Chant_SenseOres	SYCAMORE
Chant_SensePlants	BAMBOO
Chant_SensePoison	WILLOW
Chant_SensePregnancy	BEECHWOOD
Chant_SenseWater	ELM
Chant_Shillelagh	HICKORY
Chant_SnatchLight	EBONY
Chant_SnuffFlame	CITRINE
Chant_SoaringEagle	FEATHERS
Chant_SpeakWithAnimals	JADE
Chant_SummonAnimal	MEAT
Chant_SummonInsects	TOMATOES
Chant_SummonJellyfish	FISH
Chant_SummonMount	APPLES
Chant_Thorns	WOOD
Chant_UnderwaterAction	IVORY
Chant_WarpWood	PUMICE
Chant_WaterWalking	BALSA
Chant_WindColor	ALEXANDRITE
Prayer_AnimateGhoul	MESQUITE
Prayer_AnimateSkeleton	BONE
Prayer_AnimateZombie	MEAT
Prayer_BirdsEye	AGATE
Prayer_BladeBarrier	PLATINUM
Prayer_Bless	PEARL
Prayer_Blindness	LAPIS
Prayer_Blindsight	RUBY
Prayer_CallUndead	REED
Prayer_Calm	CEDAR
Prayer_CauseCritical	EMERALD
Prayer_CauseExhaustion	ONYX
Prayer_CauseFatigue	OPAL
Prayer_CauseLight	PERIDOT
Prayer_CauseSerious	CRYSOBERYL
Prayer_Cleanliness	SOAP
Prayer_CreateFood	WHEAT
Prayer_CreateWater	STONE
Prayer_CureBlindness	CARROTS
Prayer_CureCannibalism	BLACKBERRIES
Prayer_CureCritical	BLUEBERRIES
Prayer_CureDeafness	DATES
Prayer_CureDisease	FRUIT
Prayer_CureExhaustion	BEANS
Prayer_CureFatigue	POTATOES
Prayer_CureLight	GRAPES
Prayer_CureSerious	PLUMS
Prayer_CureVampirism	GARLIC
Prayer_Curse	BLOODSTONE
Prayer_DarkSenses	RUBY
Prayer_Deafness	COCONUTS
Prayer_DeathKnell	MOONSTONE
Prayer_DispelChaos	PLATINUM
Prayer_DispelEvil	SILVER
Prayer_DispelGood	GOLD
Prayer_DispelLaw	BRONZE
Prayer_DivineGuidance	TURQUOISE
Prayer_DivineLuck	PEARL
Prayer_EarthMud	DIRT
Prayer_Ember	COAL
Prayer_Enervate	FLINT
Prayer_FeignLife	SHALE
Prayer_FlameWeapon	COAL
Prayer_Freedom	LIMES
Prayer_FreezeMetal	OPAL
Prayer_Gills	SEAWEED
Prayer_HealUndead	BLOOD
Prayer_HolyWind	CHERRYWOOD
Prayer_Invigorate	ORANGES
Prayer_LightHammer	SILVER
Prayer_LinkedHealth	COCOA
Prayer_Plague	PORK
Prayer_Poison	EMERALD
Prayer_Position	IRON
Prayer_PreserveBody	SALT
Prayer_ProtChaos	ONIONS
Prayer_ProtDisease	LEMONS
Prayer_ProtEvil	PINEAPPLES
Prayer_ProtGood	RASPBERRIES
Prayer_ProtLaw	BOYSENBERRIES
Prayer_ProtOutsiders	CHERRIES
Prayer_ProtParalyzation	OLIVES
Prayer_ProtPoison	SPICE
Prayer_ProtUndead	PEACHES
Prayer_RemoveCurse	SOAPSTONE
Prayer_RemoveDeathMark	SOAPSTONE
Prayer_RemoveParalysis	CRANBERRIES
Prayer_RestoreSmell	ONIONS
Prayer_RestoreVoice	LEMONS
Prayer_SenseAlignment	MAPLE
Prayer_SenseAllergies	CEDAR
Prayer_SenseChaos	BEECHWOOD
Prayer_SenseDisease	PINE
Prayer_SenseEvil	WILLOW
Prayer_SenseFaithful	YEW
Prayer_SenseGood	SPRUCE
Prayer_SenseHidden	REED
Prayer_SenseInjury	BAMBOO
Prayer_SenseInvisible	CHERRYWOOD
Prayer_SenseLaw	SYCAMORE
Prayer_SenseLife	ELM
Prayer_SenseMagic	TEAK
Prayer_SenseProfessions	REDWOOD
Prayer_SenseUndead	MESQUITE
Prayer_SnakeStaff	SCALES
Prayer_Sober	BANANAS
